date,Day_Degree_Cold,Year,Solar_Radiation,Average_OutdoorTemp,Average_Humidity,Electricity
2019-09-11 02:00:00,6.20999848383522,2019,12.0,25.970009214772226,43.089988535194394,30.75
2019-09-11 03:00:00,6.20999848383522,2019,11.9,25.970009214772226,43.089988535194394,23.5
2019-09-11 04:00:00,6.20999848383522,2019,11.8,25.970009214772226,43.089988535194394,24.25
2019-09-11 05:00:00,6.20999848383522,2019,11.9,25.970009214772226,43.089988535194394,22.25
2019-09-11 06:00:00,6.20999848383522,2019,11.9,25.970009214772226,43.089988535194394,28.75
2019-09-11 07:00:00,6.20999848383522,2019,11.8,25.970009214772226,43.089988535194394,29.25
2019-09-11 08:00:00,6.20999848383522,2019,11.6,25.970009214772226,43.089988535194394,35.25
2019-09-11 09:00:00,6.20999848383522,2019,11.7,25.970009214772226,43.089988535194394,49.25
2019-09-11 10:00:00,6.20999848383522,2019,11.9,25.970009214772226,43.089988535194394,58.0
2019-09-11 11:00:00,6.20999848383522,2019,35.3,25.970009214772226,43.089988535194394,32.5
2019-09-11 13:00:00,6.20999848383522,2019,293.9,25.970009214772226,43.089988535194394,67.75
2019-09-11 14:00:00,6.20999848383522,2019,584.1,25.970009214772226,43.089988535194394,63.25
2019-09-11 15:00:00,6.20999848383522,2019,469.8,25.970009214772226,43.089988535194394,47.0
2019-09-11 16:00:00,6.20999848383522,2019,1017.3,25.970009214772226,43.089988535194394,48.0
2019-09-11 17:00:00,6.20999848383522,2019,854.5,25.970009214772226,43.089988535194394,46.25
2019-09-11 18:00:00,6.20999848383522,2019,156.9,25.970009214772226,43.089988535194394,42.0
2019-09-11 19:00:00,6.20999848383522,2019,142.1,25.970009214772226,43.089988535194394,38.0
2019-09-11 20:00:00,6.20999848383522,2019,655.1,25.970009214772226,43.089988535194394,43.0
2019-09-11 21:00:00,6.20999848383522,2019,359.8,25.970009214772226,43.089988535194394,35.5
2019-09-11 22:00:00,6.20999848383522,2019,275.7,25.970009214772226,43.089988535194394,31.0
2019-09-11 23:00:00,6.20999848383522,2019,54.9,25.970009214772226,43.089988535194394,28.25
2019-09-12 00:00:00,3.310006135345459,2019,11.8,24.20000504257107,44.930029084838864,26.5
2019-09-12 00:00:00,3.310006135345459,2019,109.6,24.20000504257107,44.930029084838864,45.0
2019-09-12 01:00:00,3.310006135345459,2019,11.6,24.20000504257107,44.930029084838864,22.25
2019-09-12 02:00:00,3.310006135345459,2019,11.8,24.20000504257107,44.930029084838864,22.5
2019-09-12 03:00:00,3.310006135345459,2019,11.7,24.20000504257107,44.930029084838864,17.0
2019-09-12 04:00:00,3.310006135345459,2019,11.6,24.20000504257107,44.930029084838864,21.25
2019-09-12 05:00:00,3.310006135345459,2019,11.6,24.20000504257107,44.930029084838864,24.25
2019-09-12 06:00:00,3.310006135345459,2019,11.6,24.20000504257107,44.930029084838864,17.75
2019-09-12 07:00:00,3.310006135345459,2019,11.6,24.20000504257107,44.930029084838864,33.75
2019-09-12 08:00:00,3.310006135345459,2019,11.7,24.20000504257107,44.930029084838864,30.0
