date,Gas_01,Maximum_Humidity,Solar_Radiation,Day_Degree_Hot,Day_Degree_Cold,Average_Humidity,Max_OutdoorTemp,Average_OutdoorTemp,Min_OutdoorTemp,Year,Quarter,Month,Week,Day,Is_Weekend,Is_Holiday
2021-03-31,0.5507278328829217,0.8723978569383666,0.8324419342351683,0.460616326796534,0.0868072271870785,0.7760041410147694,0.1846749217967462,0.2034554708519218,0.1227842077986277,2021,1,3,13,31,0,0
2021-04-30,0.332100127777739,0.9307185800171772,0.6983501823220675,0.1633917519056616,0.0160247070238812,0.8588187094571527,0.2302391520434853,0.3398660766912392,0.3886099719846068,2021,2,4,17,30,0,0
2021-05-31,0.204921400558026,0.885403459981187,0.8543482321733606,0.0772688774512997,0.0972568061750555,0.5318252403660835,0.4032449549813498,0.5429334056544326,0.490777070502926,2021,2,5,22,31,0,0
2021-06-30,0.0157553837958096,0.7871252709500636,0.8936690561648923,0.0013464503659304,0.244095097811035,0.4233253670194606,0.5280534664050671,0.7558491704175861,0.6921132617763558,2021,2,6,26,30,0,0
2021-07-31,0.0839521731955996,0.7953866917508488,0.883475711896444,0.0,0.4626891844067732,0.3918413198383245,0.660314768247607,0.9248012200170358,0.8585794716646205,2021,3,7,30,31,1,0
2021-08-31,0.0367280311304705,0.8353850558259378,0.8118364853431868,0.0,0.5050629844188886,0.6267822332845076,0.6499707560529476,0.9490069179408142,0.9522230634448564,2021,3,8,35,31,0,0
2021-09-30,0.0638253703298812,0.8649952967158808,0.8609342077361222,0.0012791278476339,0.2913554642291223,0.6360396039603965,0.5399147763068516,0.7976535140119773,0.7731553535674229,2021,3,9,39,30,0,0
2021-10-31,0.1533941747815622,0.817635270541082,0.7974890456535967,0.0493843247117076,0.0628489171016008,0.761387239947577,0.3571718802571775,0.5324057215491979,0.5220550882772059,2021,4,10,43,31,1,0
2021-11-30,0.623553529500833,0.7865935953539734,0.7163970262409374,0.5763480791365344,0.0028168430315416,0.4521543188801641,0.1135211358720195,0.1678275015245726,0.1754207240431298,2021,4,11,48,30,0,0
2021-12-31,0.7020135527221159,0.9236023066541246,0.5260389701716947,0.5987360740113362,0.0,0.7070958931265766,0.0769863662702016,0.1371390365072048,0.1710979524391426,2021,4,12,52,31,0,0
2022-01-31,1.0,0.8717843850967244,0.6280851893927354,1.0,0.0,0.7038711880086789,0.0,0.0,0.0067084787783808,2022,1,1,5,31,0,0
2022-02-28,1.0,0.0,0.0,0.4948205094794449,0.0,0.0,0.1719823966293195,0.2011226317604209,0.1437561398786762,2022,1,2,9,28,0,0
