date,Gas_01,Maximum_Humidity,Solar_Radiation,Day_Degree_Hot,Day_Degree_Cold,Average_Humidity,Max_OutdoorTemp,Average_OutdoorTemp,Min_OutdoorTemp,Year,Quarter,Month,Week,Day,Is_Weekend,Is_Holiday
2020-01-31,0.2816482660681718,0.6301582757351439,0.7834640499468778,0.0984182776801406,0.0,0.4431043523859466,0.2483391331857007,0.3838060384263496,0.5284492376348083,2020,1,1,5,31,0,0
2020-02-01,0.3958953685463476,0.6612408490450289,0.818763504399002,0.1379613356766256,0.0,0.5542737283691662,0.262258778867447,0.3202195791399818,0.4867980661956117,2020,1,2,5,1,1,0
2020-02-02,0.198195061615327,0.6841437977996812,0.8059186572598456,0.164323374340949,0.0,0.5906310085649361,0.2486554887693768,0.3023787740164685,0.4722945332837486,2020,1,2,5,2,1,0
2020-02-03,0.0941866324614142,0.6624268946055377,0.8593154985734579,0.1669595782073813,0.0,0.5589931830099635,0.2736475798797849,0.2982616651418115,0.4555596876162142,2020,1,2,6,3,0,0
2020-02-04,0.2904897155160413,0.7764099627827082,0.7234657212095166,0.3014059753954305,0.0,0.693060653731865,0.1474217019930402,0.2086001829826166,0.4172554853105243,2020,1,2,6,4,0,0
2020-02-05,0.4478629346282674,0.8499447875342522,0.5873891296302928,0.203866432337434,0.0,0.7911204334906486,0.2540335336918696,0.2740164684354987,0.43622164373373,2020,1,2,6,5,0,0
2020-02-06,0.3282880571717111,0.7209930064210054,0.7227733409733912,0.1458699472759226,0.0,0.626114315679077,0.2122745966466308,0.3142726440988105,0.5094830792116027,2020,1,2,6,6,0,0
2020-02-07,0.0709514865545327,0.6839802053085764,0.6121476918669196,0.1397188049209138,0.0,0.6243663695158189,0.2005694400506169,0.3357731015553523,0.5217552993677947,2020,1,2,6,7,0,0
2020-02-08,0.2509047597233947,0.7630362766349025,0.5072878988647352,0.1942003514938488,0.0,0.6315329487851774,0.2344194875039545,0.3106129917657823,0.4563034585347713,2020,1,2,6,8,1,0
2020-02-09,0.4039580374729775,0.6949409022125885,0.8075660447182131,0.1942003514938488,0.0,0.559342772242615,0.2173362859854476,0.2895699908508691,0.4656005950167348,2020,1,2,6,9,1,0
2020-02-10,0.4351825553163053,0.7099096151486647,0.8393200348577635,0.2530755711775044,0.0,0.611955951756686,0.2350521986713066,0.2419945105215005,0.4057270360728895,2020,1,2,7,10,0,0
